id_inventario,id_bodega,item,cantidad,costo_unitario
INV5000,BOD103,Producto 45,359.0,192.81
INV5001,BOD111,Producto 2,419.0,153.48
INV5002,BOD999,Producto 120,58.0,104.91
INV5003,BOD100,Producto 42,422.0,138.66
INV5006,BOD111,Producto 88,436.0,333.93
INV5007,BOD111,Producto 64,401.0,167.73
INV5008,BOD106,Producto 98,173.0,307.79
INV5010,BOD102,Producto 18,53.0,93.98
INV5011,BOD104,Producto 89,473.0,267.21
INV5012,BOD117,Producto 111,330.0,288.22
INV5013,BOD112,Producto 88,495.0,124.52
INV5014,BOD112,Producto 70,384.0,341.02
INV5015,BOD115,Producto 98,291.0,236.82
INV5016,BOD113,Producto 51,369.0,245.23
INV5017,BOD116,Producto 102,83.0,161.67
INV5018,BOD104,Producto 3,350.0,25.8
INV5019,BOD106,Producto 19,71.0,349.3
INV5020,BOD115,Producto 47,39.0,223.76
INV5021,BOD103,Producto 46,343.0,25.25
INV5023,BOD100,Producto 36,374.0,293.86
INV5024,BOD106,Producto 19,334.0,98.1
INV5025,BOD116,Producto 92,29.0,189.5
INV5027,BOD104,Producto 55,293.0,198.87
INV5028,BOD107,Producto 120,1.0,127.83
INV5029,BOD112,Producto 74,133.0,112.4
INV5030,BOD106,Producto 82,361.0,229.25
INV5031,BOD107,Producto 63,81.0,125.18
INV5032,BOD101,Producto 68,163.0,250.77
INV5033,BOD112,Producto 12,77.0,220.46
INV5034,BOD999,Producto 27,25.0,338.68
INV5035,BOD105,Producto 93,97.0,99.57
INV5036,BOD107,Producto 76,117.0,87.37
INV5037,BOD109,Producto 11,477.0,28.52
INV5038,BOD102,Producto 4,454.0,312.39
INV5039,BOD104,Producto 46,442.0,13.54
INV5040,BOD108,Producto 59,413.0,172.78
INV5041,BOD101,Producto 60,81.0,1.82
INV5042,BOD113,Producto 24,405.0,311.39
INV5043,BOD102,Producto 26,144.0,119.78
INV5044,BOD101,Producto 28,286.0,221.34
INV5045,BOD101,Producto 58,439.0,116.75
INV5046,BOD103,Producto 111,464.0,311.31
INV5047,BOD113,Producto 4,158.0,255.67
INV5049,BOD999,Producto 79,90.0,247.79
INV5050,BOD100,Producto 86,467.0,308.33
INV5051,BOD108,Producto 60,400.0,189.88
INV5052,BOD112,Producto 119,92.0,341.54
